;Niche complementarity;Niche complementarity;Niche complementarity;Niche complementarity;Niche complementarity;Niche complementarity;Mass-ratio;Mass-ratio;Mass-ratio;Mass-ratio;Mass-ratio;Mass-ratio
Trait;Forest;Grassland;Temperate;Tropical;Rate;Stock;Forest;Grassland;Tropical;Temperate;Rate;Stock
Crown size;2 (2%);0 (0%);0 (0%);2 (2%);0 (0%);2 (3%);1 (1%);0 (0%);1 (2%);0 (0%);0 (0%);1 (1%)
Deciduousness;3 (3%);1 (1%);2 (2%);2 (2%);4 (4%);0 (0%);0 (0%);0 (0%);0 (0%);0 (0%);0 (0%);0 (0%)
Growth form;1 (1%);3 (4%);3 (3%);1 (1%);3 (3%);1 (1%);0 (0%);0 (0%);0 (0%);0 (0%);0 (0%);0 (0%)
Growth rate;2 (2%);0 (0%);1 (1%);1 (1%);1 (1%);1 (1%);1 (1%);0 (0%);0 (0%);1 (1%);1 (1%);0 (0%)
Height;12 (11%);9 (11%);12 (11%);9 (11%);7 (7%);12 (17%);7 (10%);13 (19%);7 (11%);13 (16%);9 (13%);11 (15%)
LA;10 (9%);6 (7%);10 (9%);6 (7%);8 (8%);6 (8%);5 (7%);4 (6%);3 (5%);6 (8%);4 (6%);5 (7%)
LCC;3 (3%);6 (7%);8 (7%);1 (1%);4 (4%);3 (4%);2 (3%);2 (3%);2 (3%);2 (3%);1 (1%);3 (4%)
LCC:LA;0 (0%);0 (0%);0 (0%);0 (0%);0 (0%);0 (0%);3 (4%);2 (3%);3 (5%);2 (3%);2 (3%);3 (4%)
LCC:LNC;2 (2%);5 (6%);5 (5%);2 (2%);4 (4%);1 (1%);1 (1%);1 (1%);0 (0%);2 (3%);1 (1%);1 (1%)
LDMC;9 (8%);10 (12%);11 (10%);8 (10%);9 (9%);8 (11%);6 (8%);9 (13%);6 (10%);9 (11%);6 (9%);9 (13%)
LNC;13 (12%);7 (9%);13 (12%);7 (8%);9 (9%);8 (11%);11 (15%);9 (13%);8 (13%);12 (15%);10 (14%);10 (14%)
LPC;9 (8%);2 (2%);6 (6%);5 (6%);5 (5%);5 (7%);8 (11%);2 (3%);5 (8%);5 (6%);5 (7%);5 (7%)
LT;1 (1%);2 (2%);3 (3%);0 (0%);3 (3%);0 (0%);1 (1%);2 (3%);0 (0%);3 (4%);3 (4%);0 (0%)
SLA;18 (16%);15 (19%);20 (19%);13 (16%);18 (18%);11 (15%);13 (18%);15 (22%);11 (18%);17 (22%);15 (22%);13 (18%)
Seed size;4 (4%);3 (4%);3 (3%);4 (5%);4 (4%);3 (4%);1 (1%);1 (1%);1 (2%);1 (1%);1 (1%);1 (1%)
Stress tolerance;5 (5%);0 (0%);2 (2%);3 (4%);5 (5%);0 (0%);0 (0%);0 (0%);0 (0%);0 (0%);0 (0%);0 (0%)
Tree size;4 (4%);0 (0%);0 (0%);4 (5%);1 (1%);3 (4%);2 (3%);0 (0%);2 (3%);0 (0%);1 (1%);1 (1%)
WD;12 (11%);2 (2%);3 (3%);11 (13%);5 (5%);7 (10%);8 (11%);0 (0%);7 (11%);1 (1%);2 (3%);6 (8%)
Pigments;0 (0%);3 (4%);3 (3%);0 (0%);3 (3%);0 (0%);1 (1%);1 (1%);1 (2%);1 (1%);0 (0%);2 (3%)
Root quantity;0 (0%);7 (9%);3 (3%);4 (5%);7 (7%);0 (0%);0 (0%);8 (12%);4 (7%);4 (5%);8 (12%);0 (0%)
;;;;;;;;;;;;
Total;;;;;;;;;;;;
